Date : 2025-11-15 21:41:28
Directory : d:\GFF Online\gff-online\src
Total : 151 files,  8736 codes, 1040 comments, 1015 blanks, all 10791 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\goals\GFacePlayerGoal.ts                                       | TypeScript |         15 |          2 |          5 |         22 |
| d:\GFF Online\gff-online\src\goals\GPrayForAdamGoal.ts                                      | TypeScript |         29 |          6 |          6 |         41 |
| d:\GFF Online\gff-online\src\keys.ts                                                        | TypeScript |         15 |          0 |         -5 |         10 |
| d:\GFF Online\gff-online\src\main.ts                                                        | TypeScript |         11 |          2 |         -1 |         12 |
| d:\GFF Online\gff-online\src\number.ts                                                      | TypeScript |         18 |          4 |          2 |         24 |
| d:\GFF Online\gff-online\src\objects\chars\GCharSprite.ts                                   | TypeScript |         14 |          0 |          1 |         15 |
| d:\GFF Online\gff-online\src\objects\chars\GDevilSprite.ts                                  | TypeScript |         64 |          4 |         11 |         79 |
| d:\GFF Online\gff-online\src\objects\chars\GEnemySprite.ts                                  | TypeScript |         93 |          9 |         17 |        119 |
| d:\GFF Online\gff-online\src\objects\chars\GImpSprite.ts                                    | TypeScript |        -64 |         -9 |         -9 |        -82 |
| d:\GFF Online\gff-online\src\objects\chars\GPersonSprite.ts                                 | TypeScript |         56 |          3 |          6 |         65 |
| d:\GFF Online\gff-online\src\objects\chars\GPlayerSprite.ts                                 | TypeScript |          3 |          0 |          0 |          3 |
| d:\GFF Online\gff-online\src\objects\chars\GProphetSprite.ts                                | TypeScript |         93 |          4 |         11 |        108 |
| d:\GFF Online\gff-online\src\objects\chars\GTravelAgentSprite.ts                            | TypeScript |          2 |          0 |          0 |          2 |
| d:\GFF Online\gff-online\src\objects\components\GMenuCheckOption.ts                         | TypeScript |         64 |          2 |         15 |         81 |
| d:\GFF Online\gff-online\src\objects\components\GMenuRadioGroup.ts                          | TypeScript |         25 |          7 |          7 |         39 |
| d:\GFF Online\gff-online\src\objects\components\GMenuRadioOption.ts                         | TypeScript |         69 |          2 |         16 |         87 |
| d:\GFF Online\gff-online\src\objects\components\GMenuSection.ts                             | TypeScript |         75 |         12 |         18 |        105 |
| d:\GFF Online\gff-online\src\objects\components\GMenuTextOption.ts                          | TypeScript |         60 |          6 |         14 |         80 |
| d:\GFF Online\gff-online\src\objects\components\GPopup.ts                                   | TypeScript |        226 |         32 |         34 |        292 |
| d:\GFF Online\gff-online\src\objects\components\GTestConsole.ts                             | TypeScript |         85 |          6 |         14 |        105 |
| d:\GFF Online\gff-online\src\objects\decorations\GBackgroundDecoration.ts                   | TypeScript |          2 |          2 |          0 |          4 |
| d:\GFF Online\gff-online\src\objects\decorations\GCorruptionPatch.ts                        | TypeScript |         31 |          4 |          4 |         39 |
| d:\GFF Online\gff-online\src\objects\decorations\GForegroundDecoration.ts                   | TypeScript |          0 |          4 |          0 |          4 |
| d:\GFF Online\gff-online\src\objects\decorations\GOverheadAnimatedDecoration.ts             | TypeScript |         36 |          7 |          8 |         51 |
| d:\GFF Online\gff-online\src\objects\decorations\GOverheadDecoration.ts                     | TypeScript |         21 |         14 |          6 |         41 |
| d:\GFF Online\gff-online\src\objects\obstacles\GDevilStatue.ts                              | TypeScript |         30 |          2 |          5 |         37 |
| d:\GFF Online\gff-online\src\objects\obstacles\GObstacleStatic.ts                           | TypeScript |          0 |          2 |          1 |          3 |
| d:\GFF Online\gff-online\src\objects\obstacles\GSpiritTravelAgency.ts                       | TypeScript |         14 |          1 |          5 |         20 |
| d:\GFF Online\gff-online\src\objects\obstacles\GTravelAgency.ts                             | TypeScript |        -14 |         -1 |         -5 |        -20 |
| d:\GFF Online\gff-online\src\objects\touchables\GCellLockedDoor.ts                          | TypeScript |         47 |          8 |         12 |         67 |
| d:\GFF Online\gff-online\src\objects\touchables\GFalseStaircaseThreshold.ts                 | TypeScript |         17 |          1 |          6 |         24 |
| d:\GFF Online\gff-online\src\objects\touchables\GIllusionaryBlock.ts                        | TypeScript |         29 |          0 |          6 |         35 |
| d:\GFF Online\gff-online\src\objects\touchables\GLockedDoor.ts                              | TypeScript |         64 |          4 |         11 |         79 |
| d:\GFF Online\gff-online\src\objects\touchables\GStaircaseThreshold.ts                      | TypeScript |         17 |          1 |          6 |         24 |
| d:\GFF Online\gff-online\src\objects\touchables\GTeleporter.ts                              | TypeScript |         37 |          1 |          5 |         43 |
| d:\GFF Online\gff-online\src\objects\touchables\GTreasureChest.ts                           | TypeScript |         85 |         17 |         11 |        113 |
| d:\GFF Online\gff-online\src\people.ts                                                      | TypeScript |         21 |          0 |          0 |         21 |
| d:\GFF Online\gff-online\src\physics.ts                                                     | TypeScript |          6 |          0 |          0 |          6 |
| d:\GFF Online\gff-online\src\player.ts                                                      | TypeScript |         19 |          8 |          6 |         33 |
| d:\GFF Online\gff-online\src\regions\GCastleRegion.ts                                       | TypeScript |          9 |          2 |          3 |         14 |
| d:\GFF Online\gff-online\src\regions\GChurchRegion.ts                                       | TypeScript |          7 |          0 |          0 |          7 |
| d:\GFF Online\gff-online\src\regions\GDesertRegion.ts                                       | TypeScript |         31 |          1 |          3 |         35 |
| d:\GFF Online\gff-online\src\regions\GDungeonRegion.ts                                      | TypeScript |         25 |          5 |          6 |         36 |
| d:\GFF Online\gff-online\src\regions\GForestRegion.ts                                       | TypeScript |         30 |          1 |          3 |         34 |
| d:\GFF Online\gff-online\src\regions\GFortressRegion.ts                                     | TypeScript |         20 |          4 |          5 |         29 |
| d:\GFF Online\gff-online\src\regions\GInsideRegion.ts                                       | TypeScript |          2 |          0 |          1 |          3 |
| d:\GFF Online\gff-online\src\regions\GKeepRegion.ts                                         | TypeScript |          9 |          2 |          3 |         14 |
| d:\GFF Online\gff-online\src\regions\GMountRegion.ts                                        | TypeScript |         33 |          1 |          3 |         37 |
| d:\GFF Online\gff-online\src\regions\GOutsideRegion.ts                                      | TypeScript |         22 |          6 |          2 |         30 |
| d:\GFF Online\gff-online\src\regions\GPlainRegion.ts                                        | TypeScript |         59 |          4 |          3 |         66 |
| d:\GFF Online\gff-online\src\regions\GRegion.ts                                             | TypeScript |         14 |          1 |          2 |         17 |
| d:\GFF Online\gff-online\src\regions\GSector.ts                                             | TypeScript |         50 |         11 |         13 |         74 |
| d:\GFF Online\gff-online\src\regions\GStrongholdRegion.ts                                   | TypeScript |         67 |         10 |         11 |         88 |
| d:\GFF Online\gff-online\src\regions\GSwampRegion.ts                                        | TypeScript |         33 |          1 |          3 |         37 |
| d:\GFF Online\gff-online\src\regions\GTowerRegion.ts                                        | TypeScript |         24 |         10 |          6 |         40 |
| d:\GFF Online\gff-online\src\regions\GTundraRegion.ts                                       | TypeScript |         32 |          1 |          3 |         36 |
| d:\GFF Online\gff-online\src\registry.ts                                                    | TypeScript |         40 |          8 |         11 |         59 |
| d:\GFF Online\gff-online\src\scenery.ts                                                     | TypeScript |        243 |         18 |         -9 |        252 |
| d:\GFF Online\gff-online\src\scenes\GAdventureContent.ts                                    | TypeScript |        298 |         56 |         44 |        398 |
| d:\GFF Online\gff-online\src\scenes\GAdventureUI.ts                                         | TypeScript |         57 |          0 |          7 |         64 |
| d:\GFF Online\gff-online\src\scenes\GBaseScene.ts                                           | TypeScript |         13 |          0 |          1 |         14 |
| d:\GFF Online\gff-online\src\scenes\GBattleContent.ts                                       | TypeScript |         23 |          2 |          3 |         28 |
| d:\GFF Online\gff-online\src\scenes\GLoadingScene.ts                                        | TypeScript |          2 |          3 |         -1 |          4 |
| d:\GFF Online\gff-online\src\scenes\GMainMenuContent.ts                                     | TypeScript |        289 |         32 |         46 |        367 |
| d:\GFF Online\gff-online\src\scenes\GMapUI.ts                                               | TypeScript |        133 |         12 |          7 |        152 |
| d:\GFF Online\gff-online\src\scenes\GOptionsUI.ts                                           | TypeScript |        128 |          1 |          8 |        137 |
| d:\GFF Online\gff-online\src\scenes\GPeopleUI.ts                                            | TypeScript |          1 |          0 |          0 |          1 |
| d:\GFF Online\gff-online\src\scenes\GStatusUI.ts                                            | TypeScript |          3 |          0 |          0 |          3 |
| d:\GFF Online\gff-online\src\scenes\GTitleContent.ts                                        | TypeScript |         22 |          3 |          3 |         28 |
| d:\GFF Online\gff-online\src\scenes\GUIScene.ts                                             | TypeScript |          3 |          1 |          1 |          5 |
| d:\GFF Online\gff-online\src\scenes\GWorldBuildContent.ts                                   | TypeScript |         36 |          2 |          1 |         39 |
| d:\GFF Online\gff-online\src\string.ts                                                      | TypeScript |         11 |          4 |          2 |         17 |
| d:\GFF Online\gff-online\src\strongholds\GStronghold.ts                                     | TypeScript |         36 |          0 |          9 |         45 |
| d:\GFF Online\gff-online\src\strongholds\GStrongholdCastle.ts                               | TypeScript |         20 |          8 |          7 |         35 |
| d:\GFF Online\gff-online\src\strongholds\GStrongholdDungeon.ts                              | TypeScript |         20 |          8 |          7 |         35 |
| d:\GFF Online\gff-online\src\strongholds\GStrongholdFortress.ts                             | TypeScript |         20 |          9 |          7 |         36 |
| d:\GFF Online\gff-online\src\strongholds\GStrongholdKeep.ts                                 | TypeScript |         20 |          9 |          7 |         36 |
| d:\GFF Online\gff-online\src\strongholds\GStrongholdTower.ts                                | TypeScript |         20 |          9 |          7 |         36 |
| d:\GFF Online\gff-online\src\triggers\GBossTrigger.ts                                       | TypeScript |         26 |          7 |          7 |         40 |
| d:\GFF Online\gff-online\src\triggers\GCastleDoorTrigger.ts                                 | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\triggers\GDevilStatueTrigger.ts                                | TypeScript |         23 |          0 |          6 |         29 |
| d:\GFF Online\gff-online\src\triggers\GDungeonDoorTrigger.ts                                | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\triggers\GFortressDoorTrigger.ts                               | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\triggers\GKeepDoorTrigger.ts                                   | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\triggers\GProphetTrigger.ts                                    | TypeScript |         18 |          0 |          6 |         24 |
| d:\GFF Online\gff-online\src\triggers\GStrongholdNorthArchTrigger.ts                        | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\triggers\GTowerDoorTrigger.ts                                  | TypeScript |         27 |          0 |          6 |         33 |
| d:\GFF Online\gff-online\src\types.ts                                                       | TypeScript |         38 |          3 |          8 |         49 |
| Total                                                                                       |            |      8,736 |      1,040 |      1,015 |     10,791 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
