Date : 2024-12-17 16:36:51
Directory : d:\GFF Online\gff-online\src
Total : 164 files,  49918 codes, 1023 comments, 1742 blanks, all 52683 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\objects\decorations\GForegroundDecoration.ts            | TypeScript |         20 |         12 |          6 |         38 |
| d:\GFF Online\gff-online\src\objects\interactables\GInteractable.ts                  | TypeScript |         32 |          3 |         10 |         45 |
| d:\GFF Online\gff-online\src\objects\obstacles\GObstacleSprite.ts                    | TypeScript |         44 |          9 |          9 |         62 |
| d:\GFF Online\gff-online\src\objects\obstacles\GObstacleStatic.ts                    | TypeScript |         28 |          8 |          7 |         43 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallEast.ts                    | TypeScript |         14 |          0 |          2 |         16 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallNE.ts                      | TypeScript |         16 |          0 |          2 |         18 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallNW.ts                      | TypeScript |         16 |          0 |          2 |         18 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallNorth.ts                   | TypeScript |         14 |          0 |          2 |         16 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallSE.ts                      | TypeScript |         16 |          0 |          2 |         18 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallSW.ts                      | TypeScript |         16 |          0 |          2 |         18 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallSouth.ts                   | TypeScript |         14 |          0 |          2 |         16 |
| d:\GFF Online\gff-online\src\objects\obstacles\walls\GWallWest.ts                    | TypeScript |         14 |          0 |          2 |         16 |
| d:\GFF Online\gff-online\src\people.ts                                               | TypeScript |         17 |          0 |          5 |         22 |
| d:\GFF Online\gff-online\src\physics.ts                                              | TypeScript |         21 |          3 |          3 |         27 |
| d:\GFF Online\gff-online\src\player.ts                                               | TypeScript |         80 |          0 |         22 |        102 |
| d:\GFF Online\gff-online\src\regions\GDesertRegion.ts                                | TypeScript |         58 |         17 |         17 |         92 |
| d:\GFF Online\gff-online\src\regions\GForestRegion.ts                                | TypeScript |         57 |         15 |         12 |         84 |
| d:\GFF Online\gff-online\src\regions\GMountRegion.ts                                 | TypeScript |         37 |          7 |         11 |         55 |
| d:\GFF Online\gff-online\src\regions\GOutsideRegion.ts                               | TypeScript |         20 |          0 |          3 |         23 |
| d:\GFF Online\gff-online\src\regions\GPlainRegion.ts                                 | TypeScript |         60 |         19 |         14 |         93 |
| d:\GFF Online\gff-online\src\regions\GRegion.ts                                      | TypeScript |         58 |         15 |         15 |         88 |
| d:\GFF Online\gff-online\src\regions\GSwampRegion.ts                                 | TypeScript |         49 |         13 |         12 |         74 |
| d:\GFF Online\gff-online\src\regions\GTundraRegion.ts                                | TypeScript |         56 |         16 |         12 |         84 |
| d:\GFF Online\gff-online\src\scenery.ts                                              | TypeScript |        146 |         15 |         15 |        176 |
| d:\GFF Online\gff-online\src\scenes\GAdventureContent.ts                             | TypeScript |        749 |         62 |         99 |        910 |
| d:\GFF Online\gff-online\src\scenes\GAdventureUI.ts                                  | TypeScript |         89 |         11 |         24 |        124 |
| d:\GFF Online\gff-online\src\scenes\GBaseScene.ts                                    | TypeScript |         92 |          3 |         19 |        114 |
| d:\GFF Online\gff-online\src\scenes\GBattleContent.ts                                | TypeScript |      1,019 |         70 |        112 |      1,201 |
| d:\GFF Online\gff-online\src\scenes\GBibleUI.ts                                      | TypeScript |         31 |          1 |          8 |         40 |
| d:\GFF Online\gff-online\src\scenes\GBooksUI.ts                                      | TypeScript |        231 |          2 |         37 |        270 |
| d:\GFF Online\gff-online\src\scenes\GContentScene.ts                                 | TypeScript |          3 |          0 |          2 |          5 |
| d:\GFF Online\gff-online\src\scenes\GGlossaryUI.ts                                   | TypeScript |         31 |          1 |          8 |         40 |
| d:\GFF Online\gff-online\src\scenes\GLoadingScene.ts                                 | TypeScript |        181 |         18 |         23 |        222 |
| d:\GFF Online\gff-online\src\scenes\GMainMenuContent.ts                              | TypeScript |         14 |          0 |          8 |         22 |
| d:\GFF Online\gff-online\src\scenes\GMapUI.ts                                        | TypeScript |        201 |         25 |         33 |        259 |
| d:\GFF Online\gff-online\src\scenes\GOptionsUI.ts                                    | TypeScript |         31 |          1 |          8 |         40 |
| d:\GFF Online\gff-online\src\scenes\GPeopleUI.ts                                     | TypeScript |         31 |          1 |          8 |         40 |
| d:\GFF Online\gff-online\src\scenes\GStatsUI.ts                                      | TypeScript |         31 |          1 |          8 |         40 |
| d:\GFF Online\gff-online\src\scenes\GStatusUI.ts                                     | TypeScript |         33 |          1 |          8 |         42 |
| d:\GFF Online\gff-online\src\scenes\GTitleContent.ts                                 | TypeScript |         57 |         12 |         14 |         83 |
| d:\GFF Online\gff-online\src\scenes\GUIScene.ts                                      | TypeScript |        355 |         28 |         30 |        413 |
| d:\GFF Online\gff-online\src\scenes\GWorldBuildContent.ts                            | TypeScript |        127 |          4 |         19 |        150 |
| d:\GFF Online\gff-online\src\shaders\GrayscalePostFxPipeline.ts                      | TypeScript |         18 |          0 |          3 |         21 |
| d:\GFF Online\gff-online\src\stronghold.ts                                           | TypeScript |         10 |          0 |          3 |         13 |
| d:\GFF Online\gff-online\src\style.css                                               | CSS        |         14 |          0 |          3 |         17 |
| d:\GFF Online\gff-online\src\town.ts                                                 | TypeScript |         10 |          0 |          3 |         13 |
| d:\GFF Online\gff-online\src\types.ts                                                | TypeScript |        157 |         30 |         29 |        216 |
| Total                                                                                |            |     49,918 |      1,023 |      1,742 |     52,683 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
